industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,symbol,exchange,assetType,navigable,theme_id
transportation and logistics,innovation_in_logistics,US9113121068,UNITED PARCEL SERVICE-CL B,1,"Impulsa avances continuos en la entrega global de paquetes y la gestión de la cadena de suministro a través de la adopción de tecnologías innovadoras y estrategias de optimización, mejorando la eficiencia y la velocidad en su extensa red logística.","UPS demuestra su enfoque en la innovación logística a través de la implementación de su iniciativa Network of the Future, que tiene como objetivo mejorar la eficiencia de la red mediante la automatización y la consolidación de clasificación operativa. Como parte de esta iniciativa, UPS está automatizando edificios, utilizando robótica para tareas como la aplicación de etiquetas y la clasificación de paquetes, y aplicando IA para ayudar con la mano de obra, con el objetivo final de que 400 instalaciones se automaticen parcial o totalmente. La empresa también se está moviendo hacia una red de sensores a través de su iniciativa Smart Package Smart Facility RFID para reducir los escaneos manuales y mejorar la visibilidad de los paquetes. Estos esfuerzos están destinados a impulsar el negocio hacia una UPS más rentable, ágil y diferenciada, lo que permitirá una mayor eficiencia en la gestión de las fluctuaciones del volumen.","[{'name': 'ups-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ups-FY24-10-K.html'}]",6231002,USD,UPS,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,US0231351067,AMAZON.COM INC,2,Aprovecha tecnologías avanzadas y una vasta red de cumplimiento para innovar y optimizar continuamente las operaciones globales de la cadena de suministro y entrega.,,,3691937,USD,AMZN,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,CH0025238863,KUEHNE + NAGEL INTL AG-REG,3,Impulsa los avances en la logística global mediante el desarrollo e implementación de soluciones innovadoras para optimizar la gestión de la cadena de suministro y la eficiencia operativa.,,,39106394,CHF,KNIN,SMART,STK,False,LO1
transportation and logistics,innovation_in_logistics,US12541W2098,C.H. ROBINSON WORLDWIDE INC,4,Impulsa avances en logística a través del desarrollo y adopción de tecnologías y procesos innovadores para optimizar la eficiencia y visibilidad de la cadena de suministro.,"C.H. Robinson Worldwide se enfoca en la innovación logística a través del uso de IA y automatización para mejorar la eficiencia, reducir costos y aumentar la flexibilidad en la cadena de suministro global. La empresa está escalando innovaciones, incluyendo agentes de IA, en todos los aspectos del ciclo de vida de cotización a cobro, automatizando la clasificación de carga y utilizando IA agentiva para potenciar nuevas capacidades respaldadas por datos y escala inigualables. También está expandiendo su conjunto de soluciones digitales de autoservicio de vanguardia para permitir una navegación más rápida y efectiva de las complejidades del comercio global, así como avanzando en la tecnología de carga y digitalizando herramientas para clientes, transportistas e internas para apoyar el crecimiento orgánico. Como uno de los mayores proveedores de logística global, C.H. Robinson tiene como objetivo reimaginar las cadenas de suministro y resolver desafíos logísticos.","[{'name': 'chrw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/chrw-FY24-10-K.html'}, {'name': 'chrw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q125-10-Q.html'}, {'name': 'chrw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/chrw-Q225-10-Q.html'}]",36320731,USD,CHRW,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,US74340W1036,PROLOGIS INC,5,Se enfoca en el desarrollo y la gestión de instalaciones logísticas de vanguardia que integran tecnologías avanzadas y ubicaciones estratégicas para impulsar la eficiencia y la innovación en las cadenas de suministro globales.,,,88819288,USD,PLD,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,US31428X1063,FEDEX CORPORATION,6,"Impulsa avances en la eficiencia de la cadena de suministro, el transporte marítimo global y las soluciones de entrega a través de la integración tecnológica continua y las mejoras operativas.",,,5100583,USD,FDX,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,US36262G1013,GXO LOGISTICS INC,7,Impulsa avances en el sector logístico a través del desarrollo e implementación de soluciones y tecnologías innovadoras.,"GXO Logistics se identifica como un innovador líder en la industria de la logística, proporcionando soluciones personalizadas y habilitadas por tecnología a escala. Esto incluye almacenamiento y distribución de alto valor agregado, cumplimiento de pedidos, comercio electrónico y logística inversa. El enfoque de GXO en la entrega de soluciones habilitadas por tecnología subraya su compromiso con la innovación en logística.","[{'name': 'gxo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gxo-Q225-10-Q.html'}]",502252244,USD,GXO,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,US9892071054,ZEBRA TECHNOLOGIES CORP-CL A,8,"Proporciona soluciones de inteligencia de activos empresariales, que incluyen computación móvil, captura de datos y tecnologías de automatización, para impulsar la eficiencia, la visibilidad y la innovación en las operaciones de logística y cadena de suministro.","Zebra se centra en la innovación logística mediante la digitalización y automatización de flujos de trabajo con sus soluciones, que incluyen hardware, software y servicios. Esto se apoya en la adquisición de Photoneo, una empresa de visión artificial 3D, para expandirse en logística y otros mercados clave. Zebra también se centra en implementaciones de RFID para crear eficiencias dentro de las empresas y en toda la cadena de suministro, así como en oportunidades de RFID en toda la cadena de suministro.",,276304,USD,ZBRA,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,US35969L1089,FULL TRUCK ALLIANCE -SPN ADR,9,"Aprovecha una plataforma digital para optimizar los servicios de transporte y emparejamiento de carga, contribuyendo significativamente a la modernización y eficiencia del sector logístico.",,,498287734,USD,YMM,SMART,STK,False,LO1
transportation and logistics,innovation_in_logistics,DK0060079531,DSV A/S,10,Impulsa avances en la gestión de la cadena de suministro global a través de la integración de tecnologías innovadoras y estrategias operativas optimizadas.,,,44165865,DKK,DSV,SMART,STK,False,LO1
transportation and logistics,innovation_in_logistics,US5627501092,MANHATTAN ASSOCIATES INC,11,"Proporciona soluciones de software que optimizan la cadena de suministro, el inventario y el comercio omnicanal, impulsando la innovación en las operaciones logísticas.","Manhattan Associates se centra en la innovación logística a través de varias iniciativas. La empresa está innovando a gran velocidad, impulsando el éxito de sus partes interesadas y anunció innovaciones líderes en el mercado en su conferencia de clientes. Están lanzando Agentic AI para automatizar y optimizar procesos y están trabajando para reducir los plazos de implementación aprovechando la automatización y la IA. Además, Manhattan Associates se centra en la unificación funcional y técnica de su plataforma y cuenta con un equipo de ingeniería dedicado a crear ventajas funcionales unificadas.",,4814485,USD,MANH,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,US87151X1019,SYMBOTIC INC,12,"Se enfoca en transformar la cadena de suministro a través de sus soluciones de automatización robótica impulsadas por IA, mejorando la eficiencia y la velocidad en almacenes y centros de distribución.","El enfoque de Symbotic en la innovación logística es evidente en el desarrollo y despliegue de soluciones tecnológicas destinadas a mejorar las operaciones de la cadena de suministro. La empresa automatiza el procesamiento de paletas y cajas en grandes almacenes para los principales minoristas, y está construyendo y automatizando redes de la cadena de suministro a nivel mundial utilizando IA y tecnología de automatización. Symbotic también está impulsando la innovación a través de capacidades de teleoperaciones, aprendizaje automático para el entrenamiento de robots y una estructura de almacenamiento de próxima generación que aumenta la densidad de almacenamiento y acelera el manejo de cajas. La visión de la empresa es mejorar la cadena de suministro para todos mediante el desarrollo y despliegue de soluciones tecnológicas innovadoras.","[{'name': 'sym-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sym-FY24-10-K.html'}]",566188877,USD,SYM,SMART,STK,False,LO1
transportation and logistics,innovation_in_logistics,KYG386441037,GIGACLOUD TECHNOLOGY INC - A,13,"Desarrolla tecnologías y servicios avanzados basados en la nube, esenciales para impulsar la innovación y la eficiencia en las operaciones logísticas globales.","GigaCloud enfatiza la agilidad y la eficiencia en el comercio mundial a través de su modelo de Venta Minorista Suministrada por el Proveedor (SFR), diseñado para adaptarse a las interrupciones de la cadena de suministro y los cambios arancelarios, lo que permite a los participantes pivotar rápidamente creando nuevos caminos cuando los antiguos se ven obstaculizados. La empresa abrió un centro de distribución adicional en Alemania para apoyar la demanda en Europa, convirtiéndose en una parte clave de su red global. Esta plataforma e infraestructura empoderan a los socios para escalar de manera rápida y eficiente sin grandes compromisos de capital, manteniéndose ágiles en un entorno en rápida evolución y destacando la mejora continua y la adaptación en su red logística.",,579848128,USD,GCT,SMART,STK,False,LO1
transportation and logistics,innovation_in_logistics,US4456581077,HUNT (JB) TRANSPRT SVCS INC,14,Impulsa avances en la gestión del transporte y la cadena de suministro a través de la adopción y el desarrollo de estrategias y tecnologías logísticas innovadoras.,,,270825,USD,JBHT,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,US79589L1061,SAMSARA INC-CL A,15,"Ofrece una plataforma de operaciones conectadas que mejora la seguridad, la eficiencia y la sostenibilidad en diversas operaciones físicas, incluida la gestión de flotas y logística.","La empresa demuestra innovación logística a través de sus funciones de navegación comercial y planificación de rutas, diseñadas para satisfacer las necesidades específicas de vehículos comerciales grandes y optimizar rutas. Estas funciones optimizan la utilización de activos, mejoran las entregas a tiempo y aumentan la eficiencia en el lugar de trabajo. Las soluciones de la empresa permiten a los clientes reducir el kilometraje y dimensionar adecuadamente sus flotas, como lo demuestra el ahorro de 7,75 millones de dólares de Mohawk Industries a través de un análisis de planificación versus real, que redujo su kilometraje en 4,2 millones de millas.",,532274461,USD,IOT,SMART,STK,False,LO1
transportation and logistics,innovation_in_logistics,US3021301094,EXPEDITORS INTL WASH INC,16,Impulsa avances en logística a través del desarrollo e implementación de procesos y tecnologías innovadoras destinadas a optimizar la eficiencia de la cadena de suministro global.,,,269082,USD,EXPD,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,US9837931008,XPO INC,17,Se enfoca en desarrollar e implementar avances en Innovación Logística.,,,93957038,USD,XPO,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,US8962391004,TRIMBLE INC,18,"Proporciona soluciones integrales para la gestión de flotas, la optimización de la cadena de suministro y el seguimiento de activos, impulsando la eficiencia y la innovación en las operaciones logísticas.","El compromiso de Trimble con la Innovación en Logística es evidente a través de su tecnología que digitaliza y transforma el trabajo en las industrias del transporte, ejemplificado por las reservas récord de Transporeon. La empresa ofrece soluciones ricas en datos a los clientes de transporte, conectando la telemetría con la distribución, la planificación, el enrutamiento, la navegación, el mantenimiento, la visibilidad y la adquisición de carga. Trimble también está innovando a través de soluciones impulsadas por IA como la adquisición y cotización autónomas dentro de Transporeon, y está expandiendo estas capacidades de Europa a América del Norte.",,275294,USD,TRMB,SMART,STK,True,LO1
transportation and logistics,innovation_in_logistics,JP3688370000,NIPPON EXPRESS HOLDINGS INC,19,Se enfoca en mejorar la eficiencia de la cadena de suministro y desarrollar soluciones logísticas avanzadas a través de la innovación continua para satisfacer las cambiantes demandas globales.,,,531981186,JPY,9147,SMART,STK,False,LO1
