type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
materials and mining,critical_minerals,JE00B4T3BW64,GLENCORE PLC,1,"Es un productor y proveedor principal de minerales críticos, que sustentan las necesidades industriales globales y permiten la transición energética a través de sus extensas operaciones de minería y comercio.",,88286963,GBP,GLEN,SMART,STK,False,,CRI
materials and mining,critical_minerals,US0126531013,ALBEMARLE CORP,2,"Desempeña un papel fundamental en la cadena de suministro global de minerales críticos, particularmente el litio, que es esencial para las baterías de vehículos eléctricos y las soluciones de almacenamiento de energía renovable.","La participación de Albemarle en el tema de los Minerales Críticos es evidente a través de varios factores clave. La empresa anticipa créditos fiscales 45x para la producción de minerales críticos en Silver Peak y Kings Mountain y destaca el valor de sus activos globales, particularmente la producción de litio en los Estados Unidos y Chile. Esto está respaldado además por una subvención de casi $150 millones del Departamento de Energía de EE. UU. para expandir la fabricación nacional de baterías y un premio de materiales críticos de $90 millones del Departamento de Defensa de EE. UU. para apoyar el reinicio de la mina Kings Mountain.",4347,USD,ALB,SMART,STK,True,"[{'name': 'alb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q225-10-Q.html'}, {'name': 'alb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/alb-Q324-10-Q.html'}]",CRI
materials and mining,critical_minerals,US5533681012,MP MATERIALS CORP,3,"Es un productor líder de materiales de tierras raras, componentes esenciales para numerosas tecnologías avanzadas, desempeñando un papel fundamental en la cadena de suministro global de minerales críticos.","La participación de MP Materials en el tema de Minerales Críticos es sustancial, principalmente debido a su posición como el mayor productor de materiales de tierras raras en el Hemisferio Occidental. La empresa se enfoca en elementos de tierras raras, que se clasifican como minerales críticos, y está construyendo activamente una cadena de suministro nacional para producir óxido de NdPr e imanes. Esto incluye una asociación con el Departamento de Defensa para separar disprosio y terbio, lo que resalta el papel de la empresa en la seguridad de las cadenas de suministro críticas y su compromiso de restaurar el liderazgo estadounidense en esta industria. Además, MP Materials está construyendo una instalación de fabricación de metales, aleaciones e imanes de tierras raras, lo que subraya su dedicación a establecer una cadena de suministro integral de imanes de tierras raras a nivel nacional.",455592408,USD,MP,SMART,STK,True,"[{'name': 'mp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mp-Q324-10-Q.html'}, {'name': 'mp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mp-FY24-10-K.html'}, {'name': 'mp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mp-Q225-10-Q.html'}]",CRI
materials and mining,critical_minerals,US35671D8570,FREEPORT-MCMORAN INC,4,"Es un productor significativo de minerales críticos, suministrando materias primas esenciales para las demandas industriales y tecnológicas globales.","Freeport enfatiza la importancia del cobre como mineral crítico, reconociendo el enfoque gubernamental y apreciando el reconocimiento del cobre por parte de la administración estadounidense. Como campeón del cobre de Estados Unidos, Freeport aboga activamente por la legislación estadounidense para reconocer formalmente el cobre como mineral crítico, haciéndolo elegible para incentivos que promuevan la producción nacional. La posición de Freeport como un importante productor de cobre refinado es estratégicamente significativa, especialmente a medida que los países se centran cada vez más en la resiliencia de la cadena de suministro de minerales críticos, la seguridad nacional y el comercio mundial.",7089,USD,FCX,SMART,STK,True,,CRI
materials and mining,critical_minerals,AU000000LYC6,LYNAS RARE EARTHS LTD,5,"Se especializa en la producción de elementos de tierras raras, contribuyendo directamente a la cadena de suministro de minerales críticos esenciales para las industrias avanzadas.",,14064364,AUD,LYC,SMART,STK,False,,CRI
materials and mining,critical_minerals,NO0005052605,NORSK HYDRO ASA,6,"Es un importante productor de aluminio, un mineral crítico esencial para diversas aplicaciones industriales y la transición hacia una economía más ecológica.",,3268762,NOK,NHY,SMART,STK,False,,CRI
materials and mining,critical_minerals,US3434121022,FLUOR CORP,7,"Proporciona servicios esenciales de ingeniería, adquisición y construcción para proyectos relacionados con la extracción y el procesamiento de minerales críticos.",,11218575,USD,FLR,SMART,STK,True,,CRI
materials and mining,critical_minerals,CA2926717083,ENERGY FUELS INC,8,Participa en actividades relacionadas con el sector de los minerales críticos.,"La empresa demuestra un fuerte enfoque en el tema de la industria de Minerales Críticos a través de su producción de uranio, vanadio, REE y HMS, todos considerados esenciales para la seguridad energética de EE. UU. y las tecnologías avanzadas. La empresa está intentando activamente establecerse como un centro de minerales críticos en EE. UU. mediante la producción de materiales críticos, incluidos uranio, vanadio, REE y HMS, y también potencialmente radioisótopos. Las REE producidas por la empresa son esenciales para la fabricación de imanes permanentes utilizados en vehículos eléctricos, vehículos eléctricos híbridos, sistemas de defensa, robótica y otras tecnologías avanzadas, mientras que los productos de titanio y circonio derivados de la producción de HMS son vitales para la seguridad nacional y las industrias de alto rendimiento.",137780308,CAD,EFR,SMART,STK,False,"[{'name': 'uuuu-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/uuuu-Q225-10-Q.html'}]",CRI
materials and mining,critical_minerals,AU000000ILU1,ILUKA RESOURCES LIMITED,9,"Suministra minerales esenciales críticos, como tierras raras y circón, a través de sus operaciones de minería y procesamiento, apoyando la demanda industrial global y las aplicaciones de tecnología avanzada.",,4708370,AUD,ILU,SMART,STK,False,,CRI
materials and mining,critical_minerals,US5398301094,LOCKHEED MARTIN CORP,10,Depende de minerales críticos para sus operaciones.,"Lockheed Martin reconoce la importancia de los minerales críticos, en particular los imanes de tierras raras, para la producción de sistemas de defensa clave como los F-35 y los misiles de crucero. La empresa destaca y elogia la inversión del Departamento de Defensa en la minería de tierras raras y la producción de imanes dentro de los Estados Unidos, reconociendo la importancia de estos materiales tanto para aplicaciones de defensa como no de defensa. El enfoque de Lockheed Martin es asegurar la cadena de suministro a través de iniciativas gubernamentales en lugar de inversión directa.",611191,USD,LMT,SMART,STK,True,,CRI
