symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
HD,unclassified,physical_presence,US4370761029,HOME DEPOT INC,1,"Mantiene una amplia red de ubicaciones de tiendas físicas que sirven como canales de venta principales y centros de servicio al cliente, sustentando la estrategia minorista de productos para el hogar.","The Home Depot mantiene una presencia significativa de tiendas físicas, operando una red sustancial de tiendas en EE. UU., Canadá y México. El compromiso de la empresa con el comercio minorista físico se demuestra con la apertura de nuevas tiendas, con diez nuevas tiendas en EE. UU. y dos en México durante el año fiscal 2024, lo que eleva el total a 2.347 tiendas. Esta extensa red de tiendas es un aspecto fundamental de las operaciones de la empresa, como lo demuestran las ventas reportadas por pie cuadrado de venta minorista.","[{'name': 'hd-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q224-10-Q.html'}, {'name': 'hd-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q324-10-Q.html'}, {'name': 'hd-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hd-FY24-10-K.html'}, {'name': 'hd-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hd-Q125-10-Q.html'}]",7930,USD,SMART,STK,True,PHY
TGT,unclassified,physical_presence,US87612E1064,TARGET CORP,2,"Mantiene una extensa red de tiendas físicas que sirven como canales de venta principales, centros de distribución y puntos de contacto clave para la participación del cliente y los servicios de cumplimiento.","Target mantiene una importante presencia física, operando casi 2.000 tiendas en los 50 estados. La compañía invierte activamente en este canal a través de remodelaciones de tiendas y aperturas de nuevas tiendas, incluidas tiendas de formato más pequeño adaptadas a las comunidades locales. Una parte significativa de las ventas de Target se origina en sus tiendas físicas, lo que destaca la continua importancia del comercio físico para la estrategia comercial general de la compañía, donde las tiendas también se utilizan como centros de cumplimiento.","[{'name': 'tgt-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tgt-Q125-10-Q.html'}, {'name': 'tgt-FY23-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tgt-FY23-10-K.html'}, {'name': 'tgt-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tgt-Q324-10-Q.html'}]",6437,USD,SMART,STK,True,PHY
TJX,unclassified,physical_presence,US8725401090,TJX COMPANIES INC,3,"Opera una extensa red de tiendas físicas minoristas, estableciendo una presencia significativa en el panorama físico.","El negocio de TJX depende en gran medida de su presencia física, operando más de 5.000 tiendas en sus segmentos Marmaxx, HomeGoods, TJX Canada y TJX International. Esta extensa red abarca EE. UU., Canadá, Europa y Australia, con enseñas como TJ Maxx, Marshalls, HomeGoods, Winners y TK Maxx. El compromiso de la empresa se demuestra además con aumentos constantes en el número de tiendas y la superficie de venta, junto con inversiones significativas en mejoras, renovaciones y expansiones de tiendas, incluida una empresa conjunta en México y planes para entrar en España. Dado que el comercio electrónico representa una pequeña fracción de las ventas totales, la gran mayoría de los ingresos se generan a través de estas tiendas físicas, lo que subraya el papel fundamental de las tiendas físicas en la estrategia general de TJX.","[{'name': 'tjx-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tjx-Q126-10-Q.html'}, {'name': 'tjx-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tjx-Q325-10-Q.html'}, {'name': 'tjx-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tjx-FY25-10-K.html'}]",12814,USD,SMART,STK,True,PHY
COST,unclassified,physical_presence,US22160K1051,COSTCO WHOLESALE CORP,4,"Opera una vasta red de tiendas de clubes de almacén físicos a nivel mundial, sirviendo como el principal canal para su negocio minorista basado en membresía.","La estrategia comercial de Costco depende en gran medida de su presencia física, como lo demuestra la operación de almacenes físicos y las continuas inversiones en la expansión de su red de ubicaciones. Esto se evidencia en los planes de abrir 27 nuevos almacenes este año fiscal, lo que contribuirá a un total de 914 almacenes en todo el mundo, así como en la apertura de 30 nuevos almacenes en 2024, incluidas reubicaciones en EE. UU., Canadá e internacionalmente. La empresa también canibaliza estratégicamente ubicaciones de alto volumen para mejorar la experiencia del miembro, lo que refleja la importancia de las ubicaciones minoristas físicas para su modelo de negocio principal y la generación de ingresos.","[{'name': 'cost-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cost-FY24-10-K.html'}]",272997,USD,SMART,STK,True,PHY
WMT,unclassified,physical_presence,US9311421039,WALMART INC,5,"Mantiene una extensa red global de tiendas físicas, sirviendo como un actor fundamental y dominante en el sector minorista físico.","La presencia física de Walmart es fundamental para sus operaciones, como lo demuestra la discusión constante sobre las ventas comparables de tiendas y clubes en sus segmentos de EE. UU., Internacional y Sam's Club. Esto se ve respaldado aún más por las inversiones continuas en remodelaciones, expansiones y reubicaciones de tiendas y clubes, con importantes gastos de capital asignados a estas iniciativas. La empresa también rastrea y reporta el número de unidades y los pies cuadrados de venta minorista, lo que subraya la importancia de las ubicaciones físicas en su estrategia comercial general.","[{'name': 'wmt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmt-Q325-10-Q.html'}, {'name': 'wmt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmt-Q225-10-Q.html'}]",13824,USD,SMART,STK,True,PHY
KR,unclassified,physical_presence,US5010441013,KROGER CO,6,"Opera una vasta red de tiendas de comestibles físicas, sirviendo como un elemento fundamental del panorama minorista físico y adaptando continuamente su experiencia en la tienda.","El negocio de Kroger se basa en su segmento minorista de comestibles, que incluye farmacias y centros de combustible, y la empresa opera supermercados bajo varias marcas locales en 35 estados y el Distrito de Columbia. A principios de 2025, Kroger operaba 2.731 supermercados, y la empresa dirige inversiones hacia proyectos que harán crecer su negocio principal, incluido el impulso de la apertura de nuevas tiendas. Kroger está en camino de completar 30 proyectos importantes de tiendas en 2025 y espera acelerar la apertura de nuevas tiendas en 2026 y más allá en geografías de alto crecimiento, aumentando su superficie total y creando nuevos empleos. Esto está aún más respaldado por el hecho de que durante los primeros tres trimestres de 2024, Kroger abrió, expandió, reubicó o adquirió 19 supermercados y completó 170 remodelaciones.","[{'name': 'kr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kr-Q324-10-Q.html'}, {'name': 'kr-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kr-FY25-10-K.html'}]",8908,USD,SMART,STK,True,PHY
SBUX,unclassified,physical_presence,US8552441094,STARBUCKS CORP,7,"Mantiene una extensa red global de ubicaciones físicas de venta al por menor, que son fundamentales para su modelo de negocio de venta de café y participación del cliente.","Starbucks mantiene una importante presencia física, operando más de 40.500 tiendas operadas por la empresa y con licencia. Esto se evidencia en el enfoque de la empresa en restablecer sus cafeterías como un 'tercer lugar' para que los clientes pasen tiempo y construyan comunidad, evolucionando los estándares de diseño de cafeterías para proporcionar espacios acogedores y trabajando para mejorar la salud de su cartera. Starbucks está invirtiendo activamente en la renovación de sus cafeterías y evaluando estratégicamente su cartera, con potencial a largo plazo para duplicar su huella en EE. UU., al tiempo que se enfoca en restablecer los costos de renovación y construcción de nuevas.","[{'name': 'sbux-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbux-Q125-10-Q.html'}]",274105,USD,SMART,STK,True,PHY
CVS,unclassified,physical_presence,US1266501006,CVS HEALTH CORP,8,"Opera una extensa red de farmacias minoristas físicas y clínicas, que son fundamentales para la prestación de sus servicios de atención médica y la distribución de productos.","CVS Health mantiene una presencia física significativa, operando más de 9,000 ubicaciones minoristas junto con más de 1,000 clínicas médicas de atención primaria y sin cita previa. Estas ubicaciones forman parte del segmento de Farmacia y Bienestar del Consumidor, que también incluye sitios web de farmacias minoristas en línea, farmacias de atención a largo plazo (LTC), farmacias en el lugar, tiendas minoristas de farmacias especializadas, farmacias de compuestos y sucursales para servicios de infusión y nutrición enteral. Esta extensa red de ubicaciones minoristas y clínicas subraya el compromiso de la compañía con el comercio minorista físico como un componente central de su modelo de negocio.","[{'name': 'cvs-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cvs-FY24-10-K.html'}]",2585769,USD,SMART,STK,True,PHY
TSCO,unclassified,physical_presence,GB00BLGZ9862,TESCO PLC,9,"Opera una extensa red de tiendas físicas minoristas, formando un componente sustancial del panorama minorista físico global y interactuando directamente con una amplia base de clientes.",,,471204140,GBP,SMART,STK,False,PHY
DG,unclassified,physical_presence,US2566771059,DOLLAR GENERAL CORP,10,"Mantiene una extensa red de tiendas físicas, lo que subraya su papel importante en la vitalidad y expansión continuas de las huellas de venta minorista tradicionales.","Dollar General mantiene una importante presencia física, operando como el minorista de descuento más grande de los Estados Unidos por número de tiendas, con más de 20.000 tiendas ubicadas en 48 estados de EE. UU. y México. Esta extensa red es un aspecto clave de su negocio, como lo destaca su descripción como 'la tienda general del vecindario de Estados Unidos'. Demostrando aún más su compromiso, Dollar General está invirtiendo activamente en expandir y mejorar su huella física a través de la apertura de nuevas tiendas, principalmente en mercados rurales, y proyectos de remodelación como Project Renovate y Project Elevate.","[{'name': 'dg-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dg-Q324-10-Q.html'}, {'name': 'dg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dg-FY24-10-K.html'}]",70212228,USD,SMART,STK,True,PHY
