symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
PEP,consumer and retail,food_and_drinks,US7134481081,PEPSICO INC,1,"Abarca una amplia cartera de marcas icónicas tanto en alimentos convenientes como en bebidas, impulsando la innovación y el liderazgo en el mercado dentro de la industria global de alimentos y bebidas.","El negocio principal de PepsiCo gira en torno a la industria de alimentos y bebidas, como lo demuestra su diversa cartera de marcas, que incluyen Lay’s, Doritos, Cheetos, Gatorade, Pepsi-Cola y Mountain Dew. La empresa opera a través de varios canales para producir, comercializar, distribuir y vender una amplia gama de bebidas y alimentos convenientes, y los segmentos de alimentos y bebidas contribuyen significativamente a los ingresos de PepsiCo. PepsiCo se enfoca en la transformación de su cartera, nuevos puntos de precio y la adaptación a las preferencias de los consumidores, incluida la reducción de azúcar y los ingredientes naturales, al tiempo que invierte estratégicamente en mercados internacionales para el crecimiento.","[{'name': 'pep-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pep-Q225-10-Q.html'}, {'name': 'pep-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pep-Q125-10-Q.html'}, {'name': 'pep-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pep-Q324-10-Q.html'}, {'name': 'pep-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/pep-FY24-10-K.html'}]",11017,USD,SMART,STK,True,CL1
KO,consumer and retail,food_and_drinks,US1912161007,COCA-COLA CO/THE,2,"Es una fuerza dominante en la industria global de alimentos y bebidas, responsable de la producción, comercialización y distribución de una amplia gama de bebidas no alcohólicas en todo el mundo.","Las operaciones de The Coca-Cola Company están profundamente arraigadas en la industria de alimentos y bebidas, como lo demuestra su extenso portafolio de bebidas, que presenta 30 marcas globales y locales de mil millones de dólares que satisfacen diversas necesidades de los consumidores. Como empresa total de bebidas, el enfoque estratégico, el rendimiento financiero y las adquisiciones de marcas de Coca-Cola se centran en el sector de las bebidas, un segmento clave dentro del panorama más amplio de alimentos y bebidas. El compromiso de la empresa con esta industria se destaca aún más por las discusiones sobre su estrategia para todo tipo de clima, su enfoque centrado en el consumidor y sus continuos esfuerzos para adaptarse a la dinámica del mercado mientras logran sus objetivos financieros.","[{'name': 'ko-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ko-Q225-10-Q.html'}, {'name': 'ko-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ko-Q324-10-Q.html'}, {'name': 'ko-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ko-FY24-10-K.html'}]",8894,USD,SMART,STK,True,CL1
MDLZ,consumer and retail,food_and_drinks,US6092071058,MONDELEZ INTERNATIONAL INC-A,3,Opera como líder mundial en la producción y distribución de diversos productos dentro de la industria de Alimentos y Bebidas.,"El negocio de Mondelez está firmemente arraigado en la industria de Alimentos y Bebidas, como lo demuestran sus actividades principales que implican la producción y venta de chocolate, galletas, snacks horneados, chicles, caramelos, queso, comestibles y bebidas en polvo. La empresa se identifica como una empresa alimentaria y enfatiza su papel en el mantenimiento del suministro de alimentos, incluso en medio de desafíos geopolíticos. Mondelez monitorea activamente el gasto de los consumidores y la cuota de mercado dentro de estas categorías de alimentos y bebidas, innovando continuamente con nuevos sabores, formatos y activaciones de marca para fortalecer su posición en el mercado.","[{'name': 'mdlz-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdlz-Q324-10-Q.html'}, {'name': 'mdlz-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mdlz-Q225-10-Q.html'}, {'name': 'mdlz-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mdlz-FY24-10-K.html'}]",113599091,USD,SMART,STK,True,CL1
MCD,consumer and retail,food_and_drinks,US5801351017,MC DONALD'S-CORP,4,"Opera como líder mundial en la industria de restaurantes de servicio rápido, sirviendo una amplia gama de productos de alimentos y bebidas a millones de clientes diariamente.","McDonald's opera completamente dentro de la industria de alimentos y bebidas, abarcando la producción, distribución, venta minorista y servicio de alimentos. El enfoque de la empresa en la innovación del menú se evidencia en la campaña de la película de Minecraft, el lanzamiento de tiras de pollo McCrispy y la creación de equipos de categoría dedicados para carne de res, pollo y bebidas. Se centran en la innovación del menú, incluido el lanzamiento a nivel nacional de tiras de pollo McCrispy, y están aprovechando los aprendizajes de CosMc's para informar las pruebas de bebidas en restaurantes existentes. McDonald's enfatiza su compromiso con la buena comida, el valor excepcional y un entorno inclusivo, al tiempo que explora nuevas categorías de bebidas y preferencias de personalización a través de iniciativas como CosMc's.",,9408,USD,SMART,STK,True,CL1
TSN,consumer and retail,food_and_drinks,US9024941034,TYSON FOODS INC-CL A,5,"Opera como una de las empresas alimentarias más grandes del mundo, proporcionando una amplia gama de productos alimenticios centrados en proteínas a consumidores de todo el mundo.","La conexión de Tyson Foods con la industria de Alimentos y Bebidas es evidente a través de su autoidentificación como una ""compañía alimentaria de clase mundial"" y un ""líder reconocido en proteínas"". La dedicación de la compañía a ""Alimentar al Mundo como Familia"" está respaldada por su amplia cartera de marcas icónicas, incluidas Tyson®, Jimmy Dean® y Hillshire Farm®, con casi el 75% de los hogares estadounidenses comprando un producto de Tyson. Operando en cuatro segmentos —Res, Cerdo, Pollo y Alimentos Preparados— Tyson se enfoca en ofrecer ofertas de alimentos de valor agregado y hacer crecer su cartera de marcas, lo que subraya la importancia estratégica de la industria de alimentos y bebidas para sus operaciones y estrategia de crecimiento.","[{'name': 'tsn-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsn-Q325-10-Q.html'}, {'name': 'tsn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tsn-FY24-10-K.html'}, {'name': 'tsn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsn-Q225-10-Q.html'}, {'name': 'tsn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tsn-Q125-10-Q.html'}]",275405,USD,SMART,STK,True,CL1
SBUX,consumer and retail,food_and_drinks,US8552441094,STARBUCKS CORP,6,"Opera como un destacado minorista global de café, bebidas artesanales y alimentos, influyendo significativamente en las preferencias de los consumidores y las tendencias del mercado dentro del sector.","Las operaciones de Starbucks están profundamente arraigadas en la industria de alimentos y bebidas, ya que son el principal tostador, comercializador y minorista de café especial a nivel mundial, con presencia en numerosos mercados en todo el mundo. La compañía se enfoca en remodelar su negocio a través de plataformas duraderas y está creando activamente ofertas de alimentos artesanales, incluida la exploración de formas de hornear, ensamblar y servir artículos específicos en sus cafeterías a escala. Starbucks también está introduciendo nuevas plataformas de alimentos y bebidas y racionalizando su línea de productos para centrarse en el café y la artesanía, al tiempo que gestiona los posibles efectos negativos de los incidentes reportados relacionados con enfermedades transmitidas por alimentos o bebidas.","[{'name': 'sbux-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sbux-FY24-10-K.html'}, {'name': 'sbux-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbux-Q125-10-Q.html'}, {'name': 'sbux-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sbux-Q325-10-Q.html'}]",274105,USD,SMART,STK,True,CL1
KHC,consumer and retail,food_and_drinks,US5007541064,KRAFT HEINZ CO/THE,7,"Opera como líder mundial en la industria de alimentos y bebidas, ofreciendo una cartera diversa de marcas reconocidas en varias categorías de productos.","El negocio de Kraft Heinz se centra en la industria de alimentos y bebidas, como lo demuestra su fabricación y comercialización de una amplia gama de productos de alimentos y bebidas en todo el mundo. Sus plataformas de productos incluyen elevación de sabor, comidas listas fáciles, hidratación, carnes, quesos, snacks sustanciosos, postres, café y otros productos de abarrotes. El compromiso de la empresa se extiende a la entrega de productos superiores, asequibles y accesibles, con inversiones continuas en capacidades de fabricación y un enfoque en marcas clave. Toda la llamada de resultados de la empresa gira en torno a su rendimiento, estrategias e inversiones dentro del sector de alimentos y bebidas, lo que destaca su papel central en sus operaciones.","[{'name': 'khc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/khc-FY24-10-K.html'}, {'name': 'khc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/khc-Q125-10-Q.html'}, {'name': 'khc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/khc-Q225-10-Q.html'}, {'name': 'khc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/khc-Q324-10-Q.html'}]",199169586,USD,SMART,STK,True,CL1
SYY,consumer and retail,food_and_drinks,US8718291078,SYSCO CORP,8,"Sirve como distribuidor global de alimentos y productos relacionados, lo que permite a una gran variedad de restaurantes, centros de atención médica, escuelas y otros establecimientos de comida fuera del hogar.","Las operaciones de Sysco están profundamente entrelazadas con la industria de Alimentos y Bebidas, como lo demuestra su papel como líder del mercado en servicios de alimentos y su extensa red de distribución que suministra alimentos y productos relacionados a diversos establecimientos en América del Norte y Europa. El negocio principal de la empresa gira en torno a estas actividades, con un enfoque en el crecimiento de las ventas, las tendencias de las ganancias brutas y la gestión del impacto de la inflación en las categorías de alimentos. Sysco también enfatiza el abastecimiento local, comprando más del 90% de sus productos dentro de cada país en el que opera, y ha establecido un grupo de trabajo de gestión de aranceles para garantizar la disponibilidad de productos y mitigar los aumentos de costos, lo que demuestra aún más su importante participación en la industria.","[{'name': 'syy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/syy-Q225-10-Q.html'}, {'name': 'syy-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/syy-FY25-10-K.html'}]",12581,USD,SMART,STK,True,CL1
HSY,consumer and retail,food_and_drinks,US4278661081,HERSHEY CO/THE,9,"Contribuye al sector de alimentos y bebidas a través de su extensa cartera de productos de chocolate, confitería y snacks, sirviendo a una amplia base de consumidores.","El compromiso de Hershey con la industria de alimentos y bebidas es significativo, como lo demuestra su posición como líder mundial en confitería, comercializando productos bajo más de 90 nombres de marca. Sus principales ofertas de productos incluyen una amplia gama de artículos de confitería y aperitivos, como chocolate, dulces, mentas, chicles, barritas de proteínas, artículos de despensa y mezclas de aperitivos, distribuidos en aproximadamente 70 países. El enfoque de la empresa en este sector se demuestra aún más en las discusiones sobre costos de cacao, acciones de precios y gestión de cartera, que incluyen tanto chocolate como aperitivos salados, durante las llamadas de resultados.","[{'name': 'hsy-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hsy-Q125-10-Q.html'}, {'name': 'hsy-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/hsy-FY24-10-K.html'}, {'name': 'hsy-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hsy-Q225-10-Q.html'}, {'name': 'hsy-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/hsy-Q324-10-Q.html'}]",8199,USD,SMART,STK,True,CL1
KDP,consumer and retail,food_and_drinks,US49271V1008,KEURIG DR PEPPER INC,10,"Fabrica y distribuye un portafolio integral de bebidas no alcohólicas y sistemas innovadores de preparación de café y té de una sola porción, atendiendo a diversas necesidades de los consumidores dentro de la industria de Alimentos y Bebidas.","El negocio de Keurig Dr Pepper está fundamentalmente ligado a la industria de Alimentos y Bebidas, como lo demuestra su posición como una empresa líder de bebidas en América del Norte. La empresa fabrica, comercializa, distribuye y vende una amplia gama de bebidas calientes y frías, contando con una amplia cartera de marcas icónicas como Dr Pepper, Canada Dry y Snapple. KDP ofrece más de 125 marcas propias, licenciadas y asociadas, poniéndolas a disposición a través de una extensa red de ventas y distribución.","[{'name': 'kdp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kdp-Q125-10-Q.html'}, {'name': 'kdp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kdp-Q225-10-Q.html'}, {'name': 'kdp-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/kdp-Q324-10-Q.html'}, {'name': 'kdp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/kdp-FY24-10-K.html'}]",324057162,USD,SMART,STK,True,CL1
