symbol,industry,theme,isin_code,name,rank,description,evidence,evidenceSources,ib_conid,currency,exchange,assetType,navigable,theme_id
META,technology,metaverse,US30303M1027,META PLATFORMS INC-CLASS A,1,"Pionera en el desarrollo del metaverso a través de importantes inversiones en hardware y software de realidad virtual y aumentada, con el objetivo de construir las tecnologías y experiencias fundamentales para futuros mundos digitales inmersivos.","La participación de Meta en el Metaverso es evidente a través de sus importantes inversiones en tecnologías de realidad virtual, aumentada y mixta, incluido el desarrollo de dispositivos, software e interfaces neuronales relacionados. Mark Zuckerberg considera las gafas como la forma ideal de fusionar los mundos físico y digital, enfatizando la importancia del metaverso y el papel acelerador de la IA. La empresa cree que el metaverso representa el próximo capítulo de Internet, desbloqueando oportunidades de monetización en publicidad, hardware y bienes digitales, con Reality Labs liderando la investigación y el desarrollo a largo plazo en esta área, a pesar de su contribución actual a los ingresos.","[{'name': 'meta-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meta-Q324-10-Q.html'}, {'name': 'meta-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/meta-FY24-10-K.html'}, {'name': 'meta-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/meta-Q125-10-Q.html'}]",107113386,USD,SMART,STK,True,MET
MSFT,technology,metaverse,US5949181045,MICROSOFT CORP,2,"Aprovecha sus servicios en la nube, tecnología de realidad mixta y ecosistema de juegos para construir y respaldar la infraestructura y las aplicaciones fundamentales para el Metaverso.",,,272093,USD,SMART,STK,True,MET
RBLX,technology,metaverse,US7710491033,ROBLOX CORP -CLASS A,3,"Opera una plataforma global que permite a los usuarios crear, compartir y participar en experiencias virtuales inmersivas y economías digitales, contribuyendo significativamente al desarrollo y la expansión del Metaverso.","Roblox está profundamente involucrado con el Metaverso, proporcionando una plataforma gratuita e inmersiva donde los usuarios se conectan, crean, juegan, trabajan y aprenden. Esta plataforma consta del Cliente Roblox, que permite a los usuarios explorar experiencias inmersivas en 3D, y Roblox Studio, un conjunto de herramientas para que los desarrolladores creen y operen estas experiencias. Roblox también innova continuamente su plataforma invirtiendo en avatares de alta fidelidad, experiencias más realistas, herramientas de IA y otras características sociales.","[{'name': 'rblx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rblx-FY24-10-K.html'}]",476026060,USD,SMART,STK,True,MET
NVDA,technology,metaverse,US67066G1040,NVIDIA CORP,4,"Ofrece tecnología fundamental de GPU y la plataforma Omniverse, lo que permite la creación, simulación y renderización en tiempo real de entornos virtuales complejos e interactivos cruciales para el Metaverso.",,,4815747,USD,SMART,STK,True,MET
AAPL,technology,metaverse,US0378331005,APPLE INC,5,Impulsa una innovación significativa y contribuye a las tecnologías fundamentales y las experiencias de usuario dentro del Metaverso.,,,265598,USD,SMART,STK,True,MET
U,technology,metaverse,US91332U1016,UNITY SOFTWARE INC,6,"Proporciona una plataforma potente para crear y operar contenido 3D en tiempo real, esencial para construir mundos virtuales inmersivos y experiencias interactivas dentro del Metaverso.",,,445423543,USD,SMART,STK,False,MET
AMZN,technology,metaverse,US0231351067,AMAZON.COM INC,7,Participa en el tema del Metaverso.,,,3691937,USD,SMART,STK,True,MET
GOOGL,technology,metaverse,US02079K3059,ALPHABET INC-CL A,8,"Desarrolla tecnologías, plataformas e infraestructura en la nube de realidad aumentada y virtual fundamentales, lo que permite experiencias digitales inmersivas y apoya la evolución del Metaverso.",,,208813719,USD,SMART,STK,True,MET
6758,technology,metaverse,JP3435000009,SONY GROUP CORP,9,"Contribuye al desarrollo del Metaverso a través de hardware de realidad virtual, plataformas de juegos inmersivas y creación de contenido digital, mejorando las experiencias virtuales interactivas y compartidas.",,,13905705,JPY,SMART,STK,False,MET
QCOM,technology,metaverse,US7475251036,QUALCOMM INC,10,"Proporciona procesadores móviles fundamentales, soluciones de conectividad y plataformas de realidad extendida (XR) esenciales para permitir experiencias inmersivas e impulsar el desarrollo del Metaverso.",,,273544,USD,SMART,STK,True,MET
AMD,technology,metaverse,US0079031078,ADVANCED MICRO DEVICES,11,Proporciona tecnologías de computación de alto rendimiento y procesamiento gráfico cruciales para potenciar experiencias inmersivas de realidad virtual y realidad aumentada dentro del Metaverso.,,,4391,USD,SMART,STK,True,MET
035420,technology,metaverse,KR7035420009,NAVER CORP,12,"Desarrolla y opera la plataforma metaverse ZEPETO, permitiendo a los usuarios crear avatares, participar en actividades sociales virtuales y acceder a diversos contenidos digitales dentro de sus inmersivos mundos virtuales.",,,36834734,KRW,KSE,STK,False,MET
ADSK,technology,metaverse,US0527691069,AUTODESK INC,13,"Ofrece herramientas de software fundamentales para diseño 3D, ingeniería y visualización, permitiendo la creación de activos digitales y mundos virtuales inmersivos que definen el Metaverso.",,,265681,USD,SMART,STK,True,MET
SNAP,technology,metaverse,US83304A1060,SNAP INC - A,14,Se centra en el desarrollo de experiencias de realidad aumentada e identidades digitales que sientan las bases para espacios virtuales inmersivos dentro del concepto más amplio del metaverso.,,,268060148,USD,SMART,STK,False,MET
035720,technology,metaverse,KR7035720002,KAKAO CORP,15,Clasificada entre las empresas reconocidas a nivel mundial por su participación en el tema de la industria del Metaverso.,,,36834724,KRW,KSE,STK,False,MET
EA,technology,metaverse,US2855121099,ELECTRONIC ARTS INC,16,El tema del Metaverso es importante para la empresa.,,,268995,USD,SMART,STK,True,MET
EXPI,technology,metaverse,US30212W1009,EXP WORLD HOLDINGS INC,17,Mantiene una presencia dentro del tema de la industria del Metaverso.,"La empresa demuestra una fuerte conexión con el Metaverso, principalmente a través de su plataforma propietaria de metaverso basada en la web, FrameVR.io, que sirve como espacio de trabajo virtual tanto para el personal como para los agentes. FrameVR.io se considera la arquitectura de la colaboración de agentes en la era de la IA y un componente clave de la plataforma de la empresa, con más de 2 millones de visitas en 2024. Esta plataforma es una tecnología inmersiva y un espacio de reunión virtual, lo que indica un enfoque en la realidad virtual para la futura infraestructura comunitaria.","[{'name': 'expi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/expi-FY24-10-K.html'}]",143578699,USD,SMART,STK,True,MET
