industry,theme,isin_code,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
real estate,innovation_in_real_estate,US98954M1018,ZILLOW GROUP INC - A,1,"Pionera en avances en el sector inmobiliario, aprovechando la tecnología para optimizar y mejorar la experiencia de compra, venta y alquiler de viviendas.","Zillow se enfoca en optimizar las transacciones inmobiliarias residenciales a través de su ""super app"" de vivienda, con el objetivo de ofrecer una mejor experiencia mediante la creación de una experiencia de transacción integral, digitalizada e integrada. Esto incluye innovaciones como SkyTour, que utiliza imágenes de drones, tecnología de renderizado y aprendizaje automático para crear modelos 3D de hogares, y Zillow Showcase, que presenta tecnología de ""rich media"" impulsada por IA. La estrategia de ""for-sale"" de la empresa se enfoca en ofrecer una experiencia más fácil, optimizada y habilitada por la tecnología con productos como BuyAbility y nuevos itinerarios de tours, todos diseñados para beneficiar tanto a los consumidores como a la industria.",184072087,USD,ZG,SMART,STK,False,,RE4
real estate,innovation_in_real_estate,US22160N1090,COSTAR GROUP INC,2,"Impulsa la innovación en la industria inmobiliaria a través de su provisión de datos extensos, análisis y mercados en línea que mejoran la eficiencia y la transparencia del mercado.","El compromiso de CoStar Group con la Innovación Inmobiliaria es evidente a través de su integración de las tecnologías de IA, visión artificial y aprendizaje automático de Matterport para mejorar la experiencia del usuario y optimizar el análisis de propiedades. Esta integración tiene como objetivo optimizar la eficiencia operativa y ampliar el uso de tecnologías de gemelos digitales en el sector inmobiliario. Además, CoStar Group aprovecha su base de datos centralizada y su tecnología de gemelos digitales 3D para desarrollar servicios adicionales, demostrando un compromiso con la innovación para satisfacer las necesidades cambiantes de los clientes actuales y potenciales.",6726677,USD,CSGP,SMART,STK,True,"[{'name': 'csgp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/csgp-Q125-10-Q.html'}]",RE4
real estate,innovation_in_real_estate,US6837121036,OPENDOOR TECHNOLOGIES INC,3,"Revoluciona las transacciones inmobiliarias residenciales a través de su plataforma digital, permitiendo ofertas instantáneas y procesos optimizados para la compra y venta de viviendas.","Opendoor se enfoca en simplificar las transacciones inmobiliarias a través de la innovación tecnológica, como lo demuestran sus esfuerzos para optimizar su motor de precios y mejorar la eficiencia de la plataforma a través de la automatización y el autoservicio. Esto se apoya aún más en el cambio estratégico de Opendoor a una plataforma distribuida con múltiples ofertas entregadas por agentes, incluido 'Cash Plus', un producto híbrido. La empresa también está aprovechando la tecnología a través de la aplicación iOS 'Key Agent' para evaluaciones de viviendas, enriqueciendo sus capacidades de IA y profundizando las conexiones con los clientes.",460320153,USD,OPEN,SMART,STK,False,"[{'name': 'open-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/open-Q125-10-Q.html'}]",RE4
real estate,innovation_in_real_estate,US29444U7000,EQUINIX INC,4,"Se centra en el desarrollo y la operación de centros de datos avanzados, que representan un componente crítico de la innovación inmobiliaria a través de su infraestructura especializada, soluciones de conectividad y diseño sostenible.",,181764593,USD,EQIX,SMART,STK,True,,RE4
real estate,innovation_in_real_estate,US03783C1009,APPFOLIO INC - A,5,Impulsa avances tecnológicos significativos y soluciones innovadoras dentro del sector inmobiliario.,"AppFolio enfatiza su papel como líder tecnológico que impulsa el futuro de la industria inmobiliaria, centrándose en la transformación digital de los negocios de administración de propiedades y ayudando a los clientes a navegar por el ecosistema. Esto se logra mediante la expansión de la funcionalidad de su plataforma basada en la nube y el desarrollo de nuevos productos y servicios, incluidas soluciones impulsadas por IA como 'Realm-X' y sus ejecutores, que automatizan flujos de trabajo como el arrendamiento y el mantenimiento. La compañía está invirtiendo en IA y capacidades de agentes para ofrecer innovación a los clientes, con esfuerzos de investigación y desarrollo de productos centrados en agregar nueva funcionalidad principal y servicios de valor agregado.",198500838,USD,APPF,SMART,STK,True,"[{'name': 'appf-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/appf-Q225-10-Q.html'}, {'name': 'appf-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/appf-Q324-10-Q.html'}, {'name': 'appf-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/appf-Q125-10-Q.html'}, {'name': 'appf-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/appf-FY24-10-K.html'}]",RE4
real estate,innovation_in_real_estate,US2538681030,DIGITAL REALTY TRUST INC.,6,"Contribuye a la innovación inmobiliaria desarrollando y operando centros de datos altamente especializados, que sirven como infraestructura fundamental para la transformación digital y aplicaciones tecnológicas avanzadas.",,31832526,USD,DLR,SMART,STK,True,,RE4
real estate,innovation_in_real_estate,US30212W1009,EXP WORLD HOLDINGS INC,7,"Pionera en nuevos métodos y tecnologías dentro del sector inmobiliario, impulsando una innovación significativa en la industria.","El compromiso de eXp con la innovación inmobiliaria es evidente a través de su plataforma tecnológica basada en la nube diseñada para mejorar las operaciones inmobiliarias, ofreciendo funcionalidades como gestión de relaciones con clientes, marketing, servicios al cliente y servicios de corretaje. La plataforma de la empresa está diseñada para agentes y corredores de bienes raíces, e integra inteligencia artificial para aumentar la productividad de la fuerza laboral. Además, eXp se dedica a expandir su cartera de soluciones e invertir estratégicamente capital para acceder a nuevos mercados, incluido el aumento de los gastos tecnológicos relacionados con el soporte a los agentes y el mantenimiento de su tecnología.",143578699,USD,EXPI,SMART,STK,True,"[{'name': 'expi-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/expi-Q125-10-Q.html'}, {'name': 'expi-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/expi-Q225-10-Q.html'}]",RE4
real estate,innovation_in_real_estate,US74340W1036,PROLOGIS INC,8,"Desarrolla y gestiona instalaciones logísticas tecnológicamente avanzadas, integrando automatización y prácticas sostenibles para impulsar la eficiencia y la innovación en el sector inmobiliario de la cadena de suministro global.",,88819288,USD,PLD,SMART,STK,True,,RE4
real estate,innovation_in_real_estate,US31620R3030,FIDELITY NATIONAL FINANCIAL,9,Impulsa los avances en el sector inmobiliario a través de enfoques innovadores y soluciones tecnológicas.,"El compromiso de FNF con la innovación inmobiliaria es evidente a través de su segmento Corporativo y Otros, que incluye subsidiarias de tecnología inmobiliaria. Estas subsidiarias, aunque forman parte de la estructura de la compañía, tienen un nivel indefinido de inversión y contribución a los ingresos. La participación de la compañía se ve aún más destacada por la presencia de subsidiarias de tecnología inmobiliaria no relacionadas con títulos de propiedad, aunque los detalles específicos sobre métodos propietarios o ventajas competitivas únicas permanecen sin especificar.",156178034,USD,FNF,SMART,STK,True,"[{'name': 'fnf-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnf-Q225-10-Q.html'}, {'name': 'fnf-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnf-Q324-10-Q.html'}, {'name': 'fnf-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fnf-Q125-10-Q.html'}, {'name': 'fnf-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fnf-FY24-10-K.html'}]",RE4
real estate,innovation_in_real_estate,US20464U1007,COMPASS INC - CLASS A,10,Desarrolla soluciones que contribuyen a la Innovación Inmobiliaria.,,479630127,USD,COMP,SMART,STK,False,,RE4
