type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources
energy and utilities,sustainable_public_services,US65339F1012,NEXTERA ENERGY INC,1,"Demuestra un compromiso primordial con las servicios públicos sostenibles, liderando consistentemente la industria en el avance de soluciones de energía limpia y desarrollo de infraestructura.",,75960201,USD,NEE,SMART,STK,True,
energy and utilities,sustainable_public_services,IT0003128367,ENEL SPA,2,"Se enfoca en desarrollar y operar soluciones de energía sostenible, incluida la generación renovable y las redes inteligentes, para impulsar la transición hacia un sector de servicios públicos descarbonizado y eficiente.",,29816333,EUR,ENEL,SMART,STK,False,
energy and utilities,sustainable_public_services,ES0144580Y14,IBERDROLA SA.,3,"Pionera en el desarrollo y operación de infraestructura de energía renovable, incluyendo energía eólica terrestre y marina, solar e hidroeléctrica, para ofrecer servicios públicos sostenibles y descarbonizados a nivel mundial.",,46586284,EUR,IBE,SMART,STK,False,
energy and utilities,sustainable_public_services,US26441C2044,DUKE ENERGY CORP,4,"Integra activamente prácticas sostenibles y desarrolla soluciones de energía limpia, contribuyendo significativamente a un futuro energético confiable y ambientalmente responsable dentro del sector de servicios públicos.",,110176011,USD,DUK,SMART,STK,True,
energy and utilities,sustainable_public_services,US25746U1097,DOMINION ENERGY INC,5,Se enfoca en la transición de su cartera de generación de energía a fuentes sostenibles y en la inversión en infraestructura para suministrar energía más limpia y fiable.,,6327,USD,D,SMART,STK,True,
energy and utilities,sustainable_public_services,US2810201077,EDISON INTL,6,"Se enfoca en la entrega de energía limpia y renovable, la modernización de la infraestructura de la red y el avance de prácticas sostenibles para satisfacer las futuras demandas de energía.",,11899,USD,EIX,SMART,STK,True,
energy and utilities,sustainable_public_services,US0304201033,AMERICAN WATER WORKS CO INC,7,"Garantiza la prestación de servicios esenciales de agua y aguas residuales a través de la gestión de recursos, la resiliencia de la infraestructura y la administración ambiental, contribuyendo al desarrollo sostenible de la comunidad.",,50530752,USD,AWK,SMART,STK,True,
energy and utilities,sustainable_public_services,US30040W1080,EVERSOURCE ENERGY,8,"Ofrece servicios públicos sostenibles invirtiendo en energías renovables, mejorando la resiliencia de la red y promoviendo iniciativas de eficiencia energética para apoyar un futuro energético más limpio.",,182880167,USD,ES,SMART,STK,True,
energy and utilities,sustainable_public_services,US98389B1008,XCEL ENERGY INC,9,Se enfoca en proporcionar soluciones de energía sostenible a través de inversiones en generación renovable y esfuerzos de modernización de la red para lograr objetivos de energía limpia.,,10517,USD,XEL,SMART,STK,True,
energy and utilities,sustainable_public_services,US2091151041,CONSOLIDATED EDISON INC,10,Es un proveedor de servicios públicos comprometido con la integración de prácticas sostenibles y el avance de soluciones energéticas ambientalmente responsables dentro de sus operaciones.,,6691,USD,ED,SMART,STK,True,
energy and utilities,sustainable_public_services,US8425871071,SOUTHERN CO/THE,11,Participa en el desarrollo y la provisión de soluciones e infraestructura de energía sostenible dentro del sector de servicios públicos.,,12300,USD,SO,SMART,STK,True,
energy and utilities,sustainable_public_services,US69351T1060,PPL CORPORATION,12,"Se dedica a la generación, transmisión y distribución de electricidad con un enfoque en la integración de fuentes de energía sostenibles y la modernización de la infraestructura para apoyar los objetivos medioambientales.",,661547,USD,PPL,SMART,STK,True,
energy and utilities,sustainable_public_services,US00130H1059,AES CORP,13,"Se enfoca en el desarrollo y operación de infraestructura y servicios de servicios públicos sostenibles, contribuyendo a la adopción más amplia de soluciones energéticas ambientalmente responsables.",,2560358,USD,AES,SMART,STK,True,
energy and utilities,sustainable_public_services,US21037T1097,CONSTELLATION ENERGY,14,"Participa activamente en la provisión de soluciones de energía limpia y libre de carbono, contribuyendo a la transición hacia una red eléctrica sostenible y confiable.","El compromiso de Constellation Energy con el tema de las Utilidades Sostenibles se demuestra a través de la venta de electricidad, gas natural y otros productos relacionados con la energía, incluidas soluciones sostenibles, a una base de clientes diversa. Se espera que la adquisición de Calpine por parte de la empresa fortalezca su posición en el suministro de energía limpia, fiable y asequible, apoyando la transición de la nación hacia un futuro más sostenible y permitiéndoles satisfacer la creciente demanda con una gama más amplia de productos de energía y sostenibilidad. Además, el Clinton Clean Energy Center apoya los objetivos de energía limpia de Meta.",538132976,USD,CEG,SMART,STK,True,"[{'name': 'ceg-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ceg-Q125-10-Q.html'}, {'name': 'ceg-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ceg-Q225-10-Q.html'}]"
energy and utilities,sustainable_public_services,US92939U1060,WEC ENERGY GROUP INC,15,Se enfoca en la transición de su generación de energía hacia fuentes más limpias y la modernización de la infraestructura para mejorar la confiabilidad y sostenibilidad dentro del sector de servicios públicos.,,198560237,USD,WEC,SMART,STK,True,
energy and utilities,sustainable_public_services,US30161N1019,EXELON CORP,16,"Opera como un proveedor de servicios públicos líder centrado en soluciones de energía sostenible, incluidas inversiones significativas en generación renovable y esfuerzos de modernización de la red para reducir el impacto ambiental y mejorar la confiabilidad.",,11000,USD,EXC,SMART,STK,True,
energy and utilities,sustainable_public_services,DE000ENAG999,E.ON SE,17,"Se centra en el desarrollo y la operación de soluciones de energía sostenible, incluida la generación de energía renovable, la infraestructura de red inteligente y los servicios de eficiencia energética.",,53028906,EUR,EOAN,SMART,STK,False,
energy and utilities,sustainable_public_services,US0188021085,ALLIANT ENERGY CORP,18,Se enfoca en el desarrollo y operación de soluciones de energía limpia e infraestructura sostenible para proporcionar servicios públicos confiables.,"Alliant Energy demuestra un fuerte compromiso con las Utilidades Sostenibles, como lo demuestra su misión principal de ofrecer soluciones energéticas asequibles, seguras, confiables y sostenibles. Este compromiso se ve reforzado por inversiones estratégicas centradas en el cliente destinadas a mejorar la confiabilidad, la resiliencia y la sostenibilidad de sus ofertas de energía. El enfoque de la empresa en la sostenibilidad es un aspecto clave de sus operaciones, lo que influye tanto en su misión como en sus prioridades estratégicas.",5026984,USD,LNT,SMART,STK,True,"[{'name': 'lnt-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lnt-FY24-10-K.html'}]"
